CODICE_VOLANTINO,ART_COD,FORECAST
23MA,SAMA54128V,350.08730688943376
23NA,SAMA54128V,404.65879867931073
23NC,SAMA54128V,565.7971054455278
23MC,SAMA54128V,353.41307177254663
23MA,SAMA54128W,283.44899700083926
23NA,SAMA54128W,417.8308778847773
23NC,SAMA54128W,484.3098989394018
23MC,SAMA54128W,346.8868403937894
23NB,SAMF721128,431.70781428435004
23NB,SAMF721128V,216.8469929937508
23MA,SAMFLIP5256G,0.0
23NA,SAMFLIP5256G,21.78323099009117
23NC,SAMFLIP5256G,140.7139675191571
23MA,SAMFLIP5256L,0.0
23NA,SAMFLIP5256L,2.2132047328729527
23NC,SAMFLIP5256L,123.40374111716721
23MA,SAMFLIP5512G,0.0
23MC,SAMFLIP5512G,0.0
23MA,SAMFLIP5512L,0.0
23MC,SAMFLIP5512L,0.0
23MB,SAMFOLD5256B,0.0
23MD,SAMG990,202.63539741856127
23MD,SAMG990G,202.53959018138613
23MD,SAMG990L,202.53951850461291
23MD,SAMG990W,202.76381161770897
23MB,SAMS23256,544.3271613430306
23NC,SAMS23256,699.5616589230143
23MB,SAMS23256G,137.85072273747568
23NC,SAMS23256G,296.3287737285647
23MB,SAMS23256P,110.3823097901141
23NC,SAMS23256P,244.8466156234595
23MB,SAMS23256W,80.69125812278673
23NC,SAMS23256W,184.78655839377421
23NC,SAMS23FE128,109.05626043975684
23NC,SAMS23FE128CR,0.0
23MD,SAMS23PLUS256,403.55117640255384
23MD,SAMS23PLUS256G,100.01212235725063
23MD,SAMS23PLUS256P,59.18855487367847
23MD,TCL40NXTPAPER,335.43355536761425
23NB,TCL40NXTPAPER,484.558152104696
23MC,TCL40NXTPAPER,267.54522792693706
23MD,TCL40NXTPAPERO,167.4050916741797
23NB,TCL40NXTPAPERO,279.8294367348
23MC,TCL40NXTPAPERO,101.73345284953513
23MB,TCL40SE,499.6516236956154
23MD,TCL40SE,508.40783306373925
23NA,TCL40SE,468.7443996777639
23NC,TCL40SE,555.5831455359167
23MA,TIMA1464G,536.1052435094219
23NA,TIMA1464G,492.92749599337077
23NC,TIMA1464G,556.571175692615
23MC,TIMA1464G,573.2181594024897
23MA,TIMS23128,0.0
23NB,TIMS23ULTRA256,0.0
23MC,TIMS23ULTRA256,0.0
23NB,XIA12LITE,233.63322790082088
23NA,XIA12LITE,76.81640598290556
23NB,XIA12LITEP,222.40749493632455
23NA,XIA12LITEP,65.72517687114367
23NA,XIA13T8256B,25.514278212886495
23NC,XIA13T8256B,115.86743223459473
23NA,XIA13TPRO12512,279.65465327401307
23NA,XIA13TPRO12512G,0.0
23NB,XIAREDMI128256,1508.4660336276752
23MA,XIAREDMI128256,1170.5307339971655
23NA,XIAREDMI128256,1275.9347949869646
23NC,XIAREDMI128256,1523.019218632146
23MC,XIAREDMI128256,1226.0092370348952
23MA,XIAREDMI12C,711.1614032276545
23NB,XIAREDMI12C128B,804.5528528726695
23NA,XIAREDMI12C128B,853.1525660725657
23NC,XIAREDMI12C128B,733.8574801158926
23MC,XIAREDMI12C128B,703.3199647789011
23MA,XIAREDMI12CP,0.0
23NC,XIAREDMI13C128B,109.05509827288739
23MD,XIAREDMIA2,371.88415316155954
23NC,XIAREDMIA2,710.9877432800919
23MD,XIAREDMIA2GR,87.25469451011088
23NB,XIAREDMINOTE11PRO+B,282.81716816513546
23MD,XIAREDMINOTE11ST,311.83003728703255
